tag	algorithm	dataset	model	resnet_pretrained	total_users	selected_users	lr	lr_head	local_epochs	plocal_epochs	rounds	eval_gap	attack_start	attack_method	poisoning_per_batch	per_epoch	malclient	times	seed	rt_beta	lambda_cl	aug_strength	mask_tau	mask_alpha	enable_channel_mask	purify_beta	purify_feature_beta	purify_logit_beta	purify_start_round	purify_layers	purify_teacher_momentum	purpose
PF01_CLCM_FORMAL_T12A07	FedCLCM	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	12.0	0.70	1	0.0	0.0	0.0	1	layer4	0.90	same_as_20260424_pfedba_fedclcm_baseline
PF02_PUR_FORMAL_T12A07_ATT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	12.0	0.70	1	0.03	0.0	0.0	5	layer4	0.90	same_formal_mask_plus_light_attention_purify
PF03_CLCM_T6A03_BASE	FedCLCM	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	6.0	0.30	1	0.0	0.0	0.0	1	layer4	0.90	current_static_best_mask_baseline_under_pfedba
PF04_PUR_T6A03_ATT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	6.0	0.30	1	0.03	0.0	0.0	5	layer4	0.90	highest_priority_light_attention_purify_under_pfedba
AB01_PUR_T6A03_ATT_B0P1_S20	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	6.0	0.30	1	0.10	0.0	0.0	20	layer4	0.90	stronger_attention_later_start_acc_asr_tradeoff
AB02_PUR_T6A03_ATT_B1_S20	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	6.0	0.30	1	1.00	0.0	0.0	20	layer4	0.90	stress_test_attention_strength_seen_useful_on_3090
AB03_PUR_T6A03_FEAT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	6.0	0.30	1	0.0	0.03	0.0	5	layer4	0.90	feature_distillation_only
AB04_PUR_T6A03_LOGIT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	6.0	0.30	1	0.0	0.0	0.03	5	layer4	0.90	logit_distillation_only
AB05_PUR_T6A03_ATT_FEAT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	6.0	0.30	1	0.03	0.03	0.0	5	layer4	0.90	attention_plus_feature_distillation
AB06_PUR_T6A03_NOMASK_ATT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.10	1000000000.0	1.00	0	0.03	0.0	0.0	5	layer4	0.90	remove_channel_mask_test_purify_only
AB07_PUR_T6A03_NOCL_ATT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.00	0.10	6.0	0.30	1	0.03	0.0	0.0	5	layer4	0.90	remove_contrastive_loss_keep_trigger_breaking
AB08_PUR_T6A03_NOAUG_ATT_B0P03_S5	FedCLCMPurify	Cifar10	resnet	0	100	10	0.1	0.1	1	1	1000	10	30	attackall	1	1	10	1	1	0.20	0.20	0.00	6.0	0.30	1	0.03	0.0	0.0	5	layer4	0.90	remove_trigger_breaking_and_effective_cl_views
